investor_id,portfolio_turnover,avg_holding_period_days,volatility_exposure,diversification_score,sector_concentration,num_holdings,cash_allocation_pct,international_exposure_pct
26,0.5178893680174141,190,0.5541525621587639,0.6526901026017451,0.43111653160214547,17,0.125751763360433,0.32568929754561043
27,0.5257523843153024,249,0.5285445255346584,0.6567782820090299,0.5477000881746601,21,0.08423653776798272,0.33794846102466336
28,0.46135873927312143,175,0.47573182260854485,0.6040937069693161,0.6157329283336754,14,0.13431300951872568,0.2193642064405174
29,0.47640340671052833,199,0.5032140009547731,0.5461127611035347,0.4642348145370016,22,0.06348166841414317,0.31082292947909873
30,0.5022785919951906,168,0.6071972044662663,0.6316959511159005,0.39874287066711966,20,0.0669106767615806,0.3426216667398112
31,0.6603739630783649,88,0.8752493639490229,0.4432877597085061,0.8399851796472112,8,0.026252734441952193,0.16733353837131443
32,0.7882727120140548,93,0.7869558022832477,0.44589309735273885,1.0,13,0.0,0.17578829635668744
33,0.7633455574593311,83,0.8721909714073114,0.4387317026714669,0.8536534764210959,9,0.0,0.1487806179332855
34,0.687371592430342,78,0.9316205651965818,0.32849293110196837,0.8779977756651508,10,0.12206366445330578,0.12820689244102804
35,0.7581581876077479,90,0.8009245674476024,0.4231051737131636,0.9099529847786735,8,0.05349010424950095,0.180734320156912
36,0.7056758672625624,95,0.9293008408072676,0.3381092250586576,1.0,4,0.04241074524822083,0.22941586032422884
37,0.7140495933867516,84,0.8395938874821363,0.3753499532670584,0.8705317621527895,12,0.06785077429825237,0.16535452023696728
38,0.7449799937716625,92,0.890643105941948,0.4314814420961806,0.8585502494538964,8,0.08736468025616309,0.23051851327167325
39,0.6989549203017925,91,0.9138832447894212,0.37042143055820853,0.927354869058502,9,0.03911593983863899,0.2549388425993595
40,0.7412708174494015,97,0.9152739403577165,0.401050192081638,0.9340976485647482,9,0.06620831762442211,0.19349284728161578
41,0.1848497982496359,339,0.17908896583832637,0.8546193637842731,0.22969913092501493,23,0.40790554367500337,0.4195831346981468
42,0.21120599085260774,340,0.21938766135765428,0.7051372814257084,0.28379022790968633,24,0.3987559866708875,0.3726471309248931
43,0.1387251401603744,309,0.2406465727137812,0.7218137723598013,0.23888898022167845,27,0.3622483285554361,0.3546528412314435
44,0.15644808471908386,327,0.1475957829251338,0.6796268112811722,0.24407778893737822,26,0.3655453782799002,0.45376781084747764
45,0.22288298116010097,314,0.21904918960486555,0.6998735317681095,0.27907434320038055,26,0.3661359280169045,0.33863845282238386
46,0.2059673257120586,369,0.21456199257715713,0.770085586104947,0.3145071995855557,25,0.36120462409052084,0.38062962003908973
47,0.18488380492744158,295,0.22122550871294713,0.7748999145622725,0.35255718038975215,29,0.4576591228755778,0.3416326218555975
48,0.2236160318360339,325,0.3294901466608836,0.7095850857322424,0.23801390789096122,25,0.24380521378450964,0.353712248915962
49,0.1420433669223151,324,0.23708779878885797,0.8438085419607944,0.3275211919093025,25,0.3050792664325821,0.40459595857532527
50,0.11398833964896789,378,0.27897200603606437,0.7265412173947647,0.19434327354545616,31,0.3442730077373691,0.4418908155986731
51,0.4148195023376652,143,0.056375496650927115,0.8647223762550532,0.8129010091300776,39,0.9966368370739054,0.5554317056026274
52,0.7689874151805105,472,0.8496473906774115,0.24734810174319766,0.4505441353100935,9,0.9540510272587224,0.60617463445088
53,0.22864280550346272,339,0.6181282404578958,0.3581627180328405,0.11355759219962902,28,0.5203077009037933,0.7723183917356393
54,0.5201635011119934,427,0.5519068387744855,0.5609379715353863,0.876653602658345,19,0.13401522845064073,0.028782676313338973
55,0.755137255673619,313,0.7040797680992236,0.21296416150891073,0.13637147558676976,5,0.350587558806597,0.5899176868546331
